dataset,subset,model,sample_index,workload_type,input_tokens,generated_tokens,total_tokens,workload_ratio,prompt_tps,generation_tps,load_time_s,total_time_s
cnn_dailymail,3.0.0,mistral:latest,0,prefill-heavy,2048,200,2248,0.911,66.55,9.54,3.596,55.389
cnn_dailymail,3.0.0,mistral:latest,1,prefill-heavy,2048,200,2248,0.911,107.76,9.96,0.022,39.111
wikitext,wikitext-103-v1,mistral:latest,0,decode-heavy,21,500,521,0.04,12.38,12.59,0.032,41.457
wikitext,wikitext-103-v1,mistral:latest,1,decode-heavy,26,500,526,0.049,84.17,12.29,0.084,41.076
cnn_dailymail,3.0.0,gemma:2b,0,prefill-heavy,2048,200,2248,0.911,362.04,27.68,0.858,13.742
cnn_dailymail,3.0.0,gemma:2b,1,prefill-heavy,2048,200,2248,0.911,400.41,27.27,0.026,12.475
wikitext,wikitext-103-v1,gemma:2b,0,decode-heavy,35,42,77,0.455,222.31,31.09,0.048,1.557
wikitext,wikitext-103-v1,gemma:2b,1,decode-heavy,40,500,540,0.074,431.45,29.92,0.041,16.848
cnn_dailymail,3.0.0,tinyllama:latest,0,prefill-heavy,2048,200,2248,0.911,593.09,34.32,13.154,22.437
cnn_dailymail,3.0.0,tinyllama:latest,1,prefill-heavy,2048,200,2248,0.911,612.71,34.99,0.01,9.069
wikitext,wikitext-103-v1,tinyllama:latest,0,decode-heavy,52,500,552,0.094,373.5,59.02,0.019,8.631
wikitext,wikitext-103-v1,tinyllama:latest,1,decode-heavy,56,500,556,0.101,1105.35,58.8,0.016,8.57
